,name,kind,from_node,to_node,status,r,x,b,fire_risk,wind_risk,water_risk,rating,hardening,repair_cost,distance,r_pu,x_pu
0,N200_to_N201,Short,N200,N201,1,0.0,0,0,2,1,3,1,1,10,0.0,0.0,0.0
1,N200_to_N202,Short,N200,N202,1,0.0,0,0,2,1,3,1,1,10,0.0,0.0,0.0
2,N200_to_N203,Short,N200,N203,1,0.0,0,0,2,1,3,1,1,10,0.0,0.0,0.0
3,N200_to_N204,XFMR,N200,N204,1,0.9,5,0,2,1,3,1,1,10,0.17193448823924362,0.00020608630262076524,0.0001373908684138435
4,N204_to_N205,UG_line,N204,N205,1,0.9,5,0,2,1,3,1,1,10,0.1382313780680758,0.0001656886521369868,0.00011045910142465788
5,N205_to_N300,UG_line,N205,N300,1,0.9,5,0,2,1,3,1,1,10,0.018262661445529745,2.1890223490745664e-05,1.4593482327163778e-05
6,N303_to_N300,XFMR,N300,N303,1,0.9,5,0,2,1,3,1,1,2,0.0,0.0,0.0
7,N304_to_N300,Short,N300,N304,1,0.0,0,0,2,1,3,1,1,2,0.0,0.0,0.0
8,N305_to_N315,Short,N315,N305,1,0.0,0,0,2,1,3,1,1,2,0.1109631138122234,0.00013300401849004211,8.86693456600281e-05
9,N306_to_N315,Short,N315,N306,1,0.0,0,0,2,1,3,1,1,2,0.1109631138122234,0.00013300401849004211,8.86693456600281e-05
10,N300_to_N315,XFMR,N315,N300,1,0.9,5,0,2,1,3,1,1,2,0.1109631138122234,0.00013300401849004211,8.86693456600281e-05
11,N307_to_N300,Short,N307,N300,1,0.0,0,0,2,1,3,1,1,2,0.0,0.0,0.0
12,N308_to_N300,XFMR,N308,N300,1,0.9,5,0,2,1,3,1,1,2,0.0,0.0,0.0
13,N400_to_N300,UG_line,N300,N400,1,0.9,5,0,2,1,3,1,1,2,0.1654401596100865,0.00019830198785708138,0.0001322013252380543
14,N507_to_N300,UG_line,N300,N507,1,0.9,5,0,2,1,3,1,1,5,0.044686397268104736,5.35625777279301e-05,3.5708385151953405e-05
15,N507_to_N514,UG_line,N507,N514,1,0.9,5,0,2,1,3,1,1,5,0.13237929909349325,0.0001586741588211474,0.00010578277254743161
16,N518_to_N514,UG_line,N518,N514,1,0.9,5,0,2,1,3,1,1,5,0.021292298549137327,2.5521645640886808e-05,1.7014430427257875e-05
17,N518_to_N526,UG_line,N518,N526,1,0.9,5,0,2,1,3,1,1,5,0.029491083007085802,3.534897692402105e-05,2.356598461601404e-05
18,N627_to_N620,UG_line,N627,N620,1,0.9,5,0,2,1,3,1,1,5,0.13419693182293596,0.0001608528328764196,0.00010723522191761306
19,N614_to_N620,UG_line,N614,N620,1,0.9,5,0,2,1,3,1,1,5,0.14096565080947276,0.0001689660408994272,0.00011264402726628483
20,N614_to_N612,UG_line,N614,N612,1,0.9,5,0,2,1,3,1,1,5,0.0,0.0,0.0
21,N608_to_N612,UG_line,N608,N612,1,0.9,5,0,2,1,3,1,1,5,0.0,0.0,0.0
22,N608_to_N606,UG_line,N608,N606,1,0.9,5,0,2,1,3,1,1,5,0.0,0.0,0.0
23,N400_to_N606,UG_line,N606,N400,1,0.9,5,0,2,1,3,1,1,5,0.16436873403863853,0.00019701774211433194,0.00013134516140955464
24,N731_to_N720,UG_line,N731,N720,1,0.9,5,0,2,1,3,1,1,5,0.04987195505595948,5.9778156943417466e-05,3.9852104628944984e-05
25,N720_to_N722,Short,N720,N722,1,0.0,0,0,2,1,3,1,1,5,0.025425929348055865,3.0476350752539915e-05,2.0317567168359945e-05
26,N707_to_N722,Short,N707,N722,1,0.0,0,0,2,1,3,1,1,5,0.06187592437056989,7.416650728636238e-05,4.944433819090827e-05
27,N707_to_N701,UG_line,N707,N701,1,0.0,0,0,2,1,3,1,1,5,0.05633202640614984,6.752140981176893e-05,4.501427320784597e-05
28,N701_to_N400,Short,N707,N400,1,0.0,0,0,2,1,3,1,1,5,0.09132260000635146,0.00010946225608230444,7.297483738820298e-05
29,N850_to_N838,UG_line,N850,N838,1,0.9,5,0,2,1,3,1,1,5,0.07175950884933986,8.601329499445396e-05,5.734219666296932e-05
30,N838_to_N811,UG_line,N838,N811,1,0.9,5,0,2,1,3,1,1,5,0.08107519632229943,9.717938277203469e-05,6.478625518135647e-05
31,N811_to_N808,Short,N811,N808,1,0.0,0,0,2,1,3,1,1,5,0.15213213699670228,0.00018235055656675404,0.00012156703771116938
32,N806_to_N808,UG_line,N806,N808,1,0.9,5,0,2,1,3,1,1,5,0.06469480191560886,7.754530613438307e-05,5.1696870756255384e-05
33,N806_to_N801,UG_line,N806,N801,1,0.9,5,0,2,1,3,1,1,5,0.031177752935845595,3.737067468180922e-05,2.491378312120615e-05
34,N801_to_N400,UG_line,N801,N400,1,0.9,5,0,2,1,3,1,1,5,0.09078548139440457,0.00010881844814162585,7.254563209441724e-05
35,N941_to_N937,UG_line,N941,N937,1,0.9,5,0,2,1,3,1,1,5,0.04021167755932854,4.819903228983999e-05,3.213268819322666e-05
36,N937_to_N931,UG_line,N937,N931,1,0.9,5,0,2,1,3,1,1,5,0.07263320204700743,8.706053224496811e-05,5.804035482997875e-05
37,N931_to_N921,UG_line,N931,N921,1,0.9,5,0,2,1,3,1,1,5,0.05051367270595619,6.0547340713169844e-05,4.036489380877991e-05
38,N921_to_N920,UG_line,N921,N920,1,0.9,5,0,2,1,3,1,1,5,0.09035271679301342,0.00010829972233205035,7.219981488803357e-05
39,N920_to_N916,UG_line,N920,N916,1,0.9,5,0,2,1,3,1,1,5,0.1826720558004398,0.00021895670239040554,0.00014597113492693706
40,N916_to_N911,UG_line,N916,N911,1,0.9,5,0,2,1,3,1,1,5,0.15967876714729903,0.000191396194361184,0.000127597462907456
41,N911_to_N910,UG_line,N911,N910,1,0.9,5,0,2,1,3,1,1,5,0.07295778883058174,8.744959258295751e-05,5.8299728388638344e-05
42,N910_to_N901,UG_line,N910,N901,1,0.9,5,0,2,1,3,1,1,5,0.0,0.0,0.0
43,N901_to_N400,UG_line,N901,N400,1,0.9,5,0,2,1,3,1,1,5,0.1220521608183986,0.00014629571302145317,9.753047534763546e-05
44,LD5_to_N400,Short,LD5,N400,1,0.0,0,0,2,1,3,1,1,5,0.0,0.0,0.0
45,N104_to_N400,XFMR,N104,N400,1,0.9,5,0,2,1,3,1,1,10,0.03374726566144627,4.045057669901941e-05,2.696705113267961e-05
46,N104_to_N103,UG_line,N104,N103,1,0.9,5,0,2,1,3,1,1,10,0.026727066268432475,3.203593603336306e-05,2.1357290688908707e-05
47,N103_to_N100,XFMR,N103,N100,1,0.0,0,0,2,1,3,1,1,10,0.090954210425126,0.00010902069227799587,7.268046151866392e-05
48,N100_to_N101,Short,N100,N101,1,0.9,5,0,2,1,3,1,1,10,0.0,0.0,0.0
49,N100_to_N102,Short,N100,N102,1,0.9,5,0,2,1,3,1,1,10,0.0,0.0,0.0
50,N811_to_N813,Short,N811,N813,1,0.0,0,0,2,1,3,1,1,5,0.08856814304559886,0.00010616067385419641,7.077378256946429e-05
51,N813_to_N822,UG_line,N813,N822,1,0.9,5,0,2,1,3,1,1,5,0.06469480191560886,7.754530613438307e-05,5.1696870756255384e-05
52,N822_to_N829,UG_line,N822,N829,1,0.9,5,0,2,1,3,1,1,5,0.0,0.0,0.0
53,N829_to_N831,UG_line,N829,N831,1,0.9,5,0,2,1,3,1,1,5,0.15213213699670228,0.00018235055656675404,0.00012156703771116938
